sale_id,customer_id,product_name,product_category,sales_amount,sale_date,cost_price,quantity_sold,rating,promotion,feedback
47,1090,Camiseta Tech,Vestuário,1613,2024-06-12,1458,2,4.0,False,Satisfeito
48,1038,Carregador Turbo,Acessórios,2778,2024-07-05,2498,1,,True,Satisfeito
49,1019,Mouse Gamer,Acessórios,1183,2025-02-03,1114,1,,False,Satisfeito
50,1081,Headset Pro,Acessórios,2577,2024-08-21,2460,3,2.0,False,
51,1054,Tênis RunFast,Calçados,2101,2024-05-22,1963,1,1.0,False,
52,1020,Notebook X,Eletrônicos,114,2024-05-19,1,2,,False,Excelente
53,1009,Tênis RunFast,Calçados,2990,2024-09-07,2762,5,1.0,True,Muito bom
54,1055,Tênis RunFast,Calçados,247,2024-05-20,48,5,5.0,True,Ruim
55,1087,Notebook X,Eletrônicos,1362,2024-08-30,1166,1,3.0,True,Ruim
56,1019,Smartphone Z,Eletrônicos,1548,2025-03-08,1252,4,5.0,True,
57,1042,Mouse Gamer,Acessórios,825,2024-08-24,604,1,2.0,False,
58,1060,Camiseta Tech,Vestuário,1192,2024-12-03,1101,1,4.0,True,Muito bom
59,1003,Camiseta Tech,Vestuário,1985,2024-07-24,1796,3,2.0,True,Ruim
60,1082,Jaqueta Sport,Vestuário,1444,2025-02-20,1292,1,3.0,False,Excelente
61,1074,Tênis RunFast,Calçados,1456,2024-04-29,1432,1,3.0,False,Ruim
62,1100,Notebook X,Eletrônicos,544,2025-01-21,229,4,3.0,False,
63,1024,Jaqueta Sport,Vestuário,2583,2024-10-08,2312,1,4.0,False,Satisfeito
64,1092,Notebook X,Eletrônicos,1886,2024-11-07,1876,5,5.0,True,
65,1084,Smartwatch Q,Eletrônicos,1866,2024-05-31,1821,3,5.0,True,Excelente
66,1089,Headset Pro,Acessórios,2177,2025-04-06,2009,4,3.0,False,Poderia ser melhor
67,1086,Tênis RunFast,Calçados,621,2024-09-07,513,4,,True,Poderia ser melhor
68,1038,Carregador Turbo,Acessórios,2431,2024-05-13,2267,4,5.0,False,Muito bom
69,1059,Camiseta Tech,Vestuário,1860,2024-11-13,1554,5,,False,Excelente
70,1021,Teclado Mecânico,Acessórios,2867,2024-08-04,2748,5,4.0,True,
71,1096,Headset Pro,Acessórios,2211,2025-03-01,1862,5,3.0,True,Muito bom
72,1031,Headset Pro,Acessórios,1020,2024-12-13,909,2,1.0,False,Muito bom
73,1024,Carregador Turbo,Acessórios,398,2024-12-09,155,4,,False,Satisfeito
74,1000,Teclado Mecânico,Acessórios,1736,2025-03-22,1602,2,,True,
75,1071,Jaqueta Sport,Vestuário,996,2025-03-13,896,5,4.0,True,Muito bom
76,1071,Smartphone Z,Eletrônicos,1969,2024-08-31,1891,4,,False,Satisfeito
77,1057,Teclado Mecânico,Acessórios,2609,2024-11-23,2231,5,4.0,True,Satisfeito
78,1098,Teclado Mecânico,Acessórios,1943,2024-06-26,1801,2,,False,Excelente
79,1030,Camiseta Tech,Vestuário,1224,2025-01-11,989,1,,False,Excelente
80,1029,Smartwatch Q,Eletrônicos,1409,2024-05-10,1123,1,2.0,False,Ruim
81,1042,Mouse Gamer,Acessórios,2993,2024-04-30,2874,1,4.0,False,Poderia ser melhor
82,1089,Jaqueta Sport,Vestuário,355,2024-12-25,240,4,4.0,True,Satisfeito
83,1096,Carregador Turbo,Acessórios,1658,2024-07-10,1404,1,3.0,False,Excelente
84,1062,Jaqueta Sport,Vestuário,2304,2025-02-07,1912,5,5.0,True,Ruim
85,1085,Headset Pro,Acessórios,1885,2024-08-03,1627,1,4.0,False,Excelente
86,1050,Mouse Gamer,Acessórios,2014,2024-05-13,1939,5,5.0,True,Muito bom
87,1006,Smartphone Z,Eletrônicos,2732,2025-03-11,2503,2,4.0,False,Ruim
88,1097,Jaqueta Sport,Vestuário,1440,2024-07-12,1322,4,3.0,False,Excelente
89,1095,Headset Pro,Acessórios,1826,2025-03-15,1687,1,4.0,True,Muito bom
90,1096,Smartwatch Q,Eletrônicos,1018,2024-05-22,676,1,,True,Muito bom
91,1016,Camiseta Tech,Vestuário,916,2024-09-07,896,5,2.0,False,Ruim
92,1098,Smartphone Z,Eletrônicos,2410,2024-07-29,2289,4,,False,Excelente
93,1013,Mouse Gamer,Acessórios,2581,2024-10-06,2261,1,2.0,True,Excelente
94,1025,Headset Pro,Acessórios,2458,2024-12-15,2102,4,4.0,True,
95,1098,Carregador Turbo,Acessórios,2928,2025-03-02,2597,2,1.0,False,
96,1054,Carregador Turbo,Acessórios,595,2024-09-01,296,1,3.0,False,Satisfeito
97,1062,Smartphone Z,Eletrônicos,2172,2024-06-15,1831,3,1.0,True,Poderia ser melhor
98,1055,Jaqueta Sport,Vestuário,1583,2024-09-03,1248,4,,True,Ruim
99,1059,Tênis RunFast,Calçados,2764,2024-08-28,2616,5,5.0,False,Poderia ser melhor
100,1057,Carregador Turbo,Acessórios,1199,2024-07-03,1024,2,1.0,True,Excelente
